unique_code,tipoies,region,nombreies,nombrecarrera,modalidad
I70S1C54J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL INDUSTRIAL,Presencial
I70S1C55J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL MATEMATICA,Presencial
I70S1C56J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL MECANICA,Presencial
I70S1C57J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA CIVIL QUIMICA,Presencial
I70S1C58J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA COMERCIAL,Presencial
I70S1C5J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,BIOLOGIA CON MENCION EN MEDIO AMBIENTE,Presencial
I70S1C61J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN ALIMENTOS,Presencial
I70S1C62J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN BIOTECNOLOGIA MOLECULAR,Presencial
I70S1C63J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN RECURSOS NATURALES RENOVABLES,Presencial
I70S1C64J1V4,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA Y CIENCIAS - PLAN COMUN,Presencial
I70S1C66J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,KINESIOLOGIA,Presencial
I70S1C67J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DANZA,Presencial
I70S1C68J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ACTUACION TEATRAL,Presencial
I70S1C6J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,BIOQUIMICA,Presencial
I70S1C70J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,DISEÑO TEATRAL,Presencial
I70S1C71J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INTERPRETACION MUSICAL,Presencial
I70S1C73J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TEORIA DE LA MUSICA,Presencial
I70S1C74J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TEORIA E HISTORIA DEL ARTE,Presencial
I70S1C76J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN CIENCIAS CON MENCION EN BIOLOGIA,Presencial
I70S1C77J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN CIENCIAS CON MENCION EN FISICA,Presencial
I70S1C78J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN CIENCIAS CON MENCION EN MATEMATICAS,Presencial
I70S1C79J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN CIENCIAS CON MENCION EN QUIMICA,Presencial
I70S1C80J1V3,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN ARTES CON MENCION EN COMPOSICION,Presencial
I70S1C814J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CONTADOR AUDITOR,Presencial
I70S1C816J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN INFORMACION Y CONTROL DE GESTION,Presencial
I70S1C81J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN FILOSOFIA,Presencial
I70S1C82J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN HISTORIA,Presencial
I70S1C83J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN LINGÜISTICA Y LITERATURA,Presencial
I70S1C840J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ETAPA BASICA DE LA LICENCIATURA EN ARTES CON MENCION EN COMPOSICION,Presencial
I70S1C842J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ETAPA BASICA DE LA LICENCIATURA EN ARTES CON MENCION EN INTERPRETACION MUSICAL,Presencial
I70S1C84J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN LINGÜISTICA Y LITERATURA INGLESAS,Presencial
I70S1C861J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION BASICA,Presencial
I70S1C862J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION PARVULARIA,Presencial
I70S1C863J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,PEDAGOGIA EN EDUCACION MEDIA EN BIOLOGIA Y QUIMICA,Presencial
I70S1C864J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,TRABAJO SOCIAL,Presencial
I70S1C873J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,INGENIERIA EN SONIDO,Presencial
I70S1C901J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,ESTUDIOS INTERNACIONALES,Presencial
I70S1C911J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,CIENCIA POLITICA,Presencial
I70S1C931J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE CHILE,LICENCIATURA EN ARTES CON MENCION EN ARTES VISUALES,Presencial
I71S1C100J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA MATEMATICA,Presencial
I71S1C101J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA EN AGRONEGOCIOS,Presencial
I71S1C102J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN ADMINISTRACION DE PERSONAL,Presencial
I71S1C103J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN ALIMENTOS,Presencial
I71S1C104J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN CONSTRUCCIONES,Presencial
I71S1C105J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN CONTROL INDUSTRIAL,Presencial
I71S1C108J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Presencial
I71S1C109J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN MANTENIMIENTO INDUSTRIAL,Presencial
I71S1C110J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNOLOGIA EN TELECOMUNICACIONES,Presencial
I71S1C111J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,LICENCIATURA EN CIENCIAS DE LA ACTIVIDAD FISICA / TERAPEUTA EN ACTIVIDAD FISICA Y SALUD,Presencial
I71S1C11J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,ENFERMERIA,Presencial
I71S1C142J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,LICENCIATURA EN ESTUDIOS INTERNACIONALES / ANALISTA EN POLITICAS Y ASUNTOS INTERNACIONALES,Presencial
I71S1C145J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN QUIMICA Y BIOLOGIA /LICENCIATURA EN EDUCACION EN QUIMICA Y BIOLOGIA,Presencial
I71S1C146J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN EDUCACION GENERAL BASICA / LICENCIATURA EN EDUCACION,Presencial
I71S1C149J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN HISTORIA Y CIENCIAS SOCIALES / LICENCIATURA EN EDUCACION EN HISTORIA Y CIENCIAS SOCIALES,Presencial
I71S1C14J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN ELECTRICIDAD,Presencial
I71S1C152J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,CONTADOR PUBLICO Y AUDITOR,Presencial
I71S1C15J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN GEOGRAFIA,Presencial
I71S1C16J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN INFORMATICA,Presencial
I71S1C17J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN MINAS,Presencial
I71S1C18J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN OBRAS CIVILES,Presencial
I71S1C19J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL INDUSTRIAL,Presencial
I71S1C20J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN MECANICA,Presencial
I71S1C21J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN METALURGIA,Presencial
I71S1C22J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN QUIMICA,Presencial
I71S1C23J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA COMERCIAL,Presencial
I71S1C24J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN COMPUTACION E INFORMATICA,Presencial
I71S1C25J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN ELECTRICIDAD,Presencial
I71S1C27J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN GEOMENSURA,Presencial
I71S1C28J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN METALURGIA,Presencial
I71S1C29J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN MINAS,Presencial
I71S1C2J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,ADMINISTRACION PUBLICA,Presencial
I71S1C30J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN QUIMICA,Presencial
I71S1C31J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION INDUSTRIAL,Presencial
I71S1C32J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE EJECUCION EN MECANICA,Presencial
I71S1C35J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,"INGENIERIA DE EJECUCION EN CLIMATIZACION (CALEFACCION, REFRIGERACION Y AIRE ACONDICIONADO)",Presencial
I71S1C36J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA DE ALIMENTOS,Presencial
I71S1C37J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA ESTADISTICA,Presencial
I71S1C38J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA FISICA,Presencial
I71S1C395J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN EDUCACION FISICA,Presencial
I71S1C396J1V3,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,LICENCIATURA EN HISTORIA,Presencial
I71S1C39J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,ANALISTA EN COMPUTACION CIENTIFICA / LICENCIATURA EN CIENCIA DE LA COMPUTACION,Presencial
I71S1C3J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,ARQUITECTURA,Presencial
I71S1C40J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN CASTELLANO / LICENCIATURA EN EDUCACION EN CASTELLANO,Presencial
I71S1C413J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,QUIMICA Y FARMACIA,Presencial
I71S1C41J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN FISICA Y MATEMATICA / LICENCIATURA EN EDUCACION DE FISICA Y MATEMATICA,Presencial
I71S1C43J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN INGLES,Presencial
I71S1C444J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,LICENCIATURA EN CIENCIAS DE LA ACTIVIDAD FISICA / ENTRENADOR DEPORTIVO,Presencial
I71S1C44J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN MATEMATICA Y COMPUTACION / LICENCIATURA EN EDUCACION EN MATEMATICA Y COMPUTACION,Presencial
I71S1C45J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PEDAGOGIA EN FILOSOFIA,Presencial
I71S1C46J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,LICENCIATURA EN LINGÜISTICA APLICADA A LA TRADUCCION MENCION INGLES-JAPONES O INGLES-PORTUGUES / TRADUCTOR INGLES-JAPONES O INGLES-PORTUGUES,Presencial
I71S1C4J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,BACHILLERATO EN CIENCIAS Y HUMANIDADES,Presencial
I71S1C549J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,KINESIOLOGIA,Presencial
I71S1C555J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TERAPIA OCUPACIONAL,Presencial
I71S1C572J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,DERECHO,Presencial
I71S1C5J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,BIOQUIMICA Y LICENCIATURA EN BIOQUIMICA,Presencial
I71S1C67J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,MEDICINA,Presencial
I71S1C68J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,OBSTETRICIA Y PUERICULTURA,Presencial
I71S1C69J1V2,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PERIODISMO / LICENCIATURA EN COMUNICACION SOCIAL,Presencial
I71S1C6J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,CONTADOR PUBLICO Y AUDITOR,Presencial
I71S1C71J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PSICOLOGIA / LICENCIATURA EN PSICOLOGIA,Presencial
I71S1C72J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,PUBLICIDAD,Presencial
I71S1C73J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,QUIMICA Y LICENCIATURA EN QUIMICA,Presencial
I71S1C75J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNICO UNIVERSITARIO EN ANALISIS QUIMICO Y FISICO,Presencial
I71S1C75J2V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,TECNICO UNIVERSITARIO EN ANALISIS QUIMICO Y FISICO,Presencial
I71S1C775J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,DISEÑO EN COMUNICACION VISUAL,Presencial
I71S1C777J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN AMBIENTE,Presencial
I71S1C778J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL BIOMEDICA,Presencial
I71S1C779J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN BIOTECNOLOGIA,Presencial
I71S1C780J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL MECATRONICA,Presencial
I71S1C781J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN TELEMATICA,Presencial
I71S1C850J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,ASTROFISICA CON MENCION EN CIENCIA DE DATOS,Presencial
I71S1C851J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,DISEÑO INDUSTRIAL,Presencial
I71S1C852J1V1,Universidades,REGION METROPOLITANA,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA CIVIL EN GEOMENSURA Y GEOMATICA,Presencial
I72S1C110J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,TECNOLOGIA MEDICA,Presencial
I72S1C111J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,GESTION EN TURISMO Y CULTURA,Presencial
I72S1C112J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,SOCIOLOGIA,Presencial
I72S1C113J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,CINE,Presencial
I72S1C114J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,KINESIOLOGIA,Presencial
I72S1C11J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,ADMINISTRACION HOTELERA Y GASTRONOMICA,Presencial
I72S1C146J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,EDUCACION PARVULARIA,Presencial
I72S1C147J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,TEATRO,Presencial
I72S1C148J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,INGENIERIA CIVIL,Presencial
I72S1C149J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,INGENIERIA CIVIL EN INFORMATICA,Presencial
I72S1C151J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,LICENCIATURA EN CIENCIAS MENCION EN BIOLOGIA O EN QUIMICA,Presencial
I72S1C16J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,ENFERMERIA,Presencial
I72S1C1J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,ARQUITECTURA,Presencial
I72S1C235J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,LICENCIATURA EN FISICA CON MENCION ASTRONOMIA O MENCION CIENCIAS ATMOSFERICAS O MENCION COMPUTACION CIENTIFICA,Presencial
I72S1C237J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,DISEÑO,Presencial
I72S1C2J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,AUDITORIA,Presencial
I72S1C32J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,FONOAUDIOLOGIA,Presencial
I72S1C33J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,INGENIERIA AMBIENTAL,Presencial
I72S1C34J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,INGENIERIA CIVIL BIOMEDICA,Presencial
I72S1C35J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,INGENIERIA COMERCIAL,Presencial
I72S1C36J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,INGENIERIA EN CONSTRUCCION,Presencial
I72S1C3J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,BIOLOGIA MARINA,Presencial
I72S1C46J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,MEDICINA,Presencial
I72S1C4J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,DERECHO,Presencial
I72S1C505J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,INGENIERIA EN NEGOCIOS INTERNACIONALES,Presencial
I72S1C50J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,OBSTETRICIA Y PUERICULTURA,Presencial
I72S1C51J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,ODONTOLOGIA,Presencial
I72S1C53J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,PEDAGOGIA EN FILOSOFIA,Presencial
I72S1C543J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,INGENIERIA EN INFORMACION Y CONTROL DE GESTION,Presencial
I72S1C54J1V2,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,PEDAGOGIA EN HISTORIA Y CIENCIAS SOCIALES,Presencial
I72S1C558J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,PEDAGOGIA EN MUSICA,Presencial
I72S1C579J1V1,Universidades,REGION DE VALPARAISO,UNIVERSIDAD DE VALPARAISO,INGENIERIA CIVIL AMBIENTAL,Presencial
